C-A10-0;C-BARG-0;C-BABE1-0;F-T02;F-T03;F-T04;F-T05;F-T06;F-T07;F-T08;F-T09;F-T10;F-T11
A10-2000;BARG-11;BABE2-21;0;1155087106;24066;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE2-22;0;1224445685;14073;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE2-23;0;213411013;2373;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE2-24;0;74693854;1124;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE2-41;0;100167137;0;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE2-53;0;0;0;0;0;0;0;10021;0;0
A10-2000;BARG-11;BABE2-54;0;0;0;0;0;943;4143;0;0;0
A10-2000;BARG-11;BABE2-55;0;34031004;0;0;0;0;3883523;0;0;0
A10-2000;BARG-11;BABE2-61;0;0;0;0;0;288;89051;0;0;0
A10-2000;BARG-11;BABE2-71;0;0;0;0;0;2791;0;27094116;38293156;0
A10-2000;BARG-11;BABE2-81;0;0;37807;0;0;162246;4097845;348757;25092912;0
A10-2000;BARG-11;BABE2-91;0;0;0;0;0;808;2955;0;0;0
A10-2000;BARG-11;BABE2-92;0;259053;0;0;8602947;254736;170256220;12428319;22391031;0
A10-2000;BARG-11;BABE2-93;0;0;0;0;4360370;0;394682464;0;0;0
A10-2000;BARG-11;BABE3-2;0;2667637658;41636;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE3-4;0;100167137;0;0;0;0;0;0;0;0
A10-2000;BARG-11;BABE3-5;0;34031004;0;0;0;943;3887665;10021;0;0
A10-2000;BARG-11;BABE3-6;0;0;0;0;0;288;89051;0;0;0
A10-2000;BARG-11;BABE3-7;0;0;0;0;0;2791;0;27094116;38293156;0
A10-2000;BARG-11;BABE3-8;0;0;37807;0;0;162246;4097845;348757;25092912;0
A10-2000;BARG-11;BABE3-9;0;259053;0;0;12963317;255543;564941639;12428319;22391031;0
A10-2000;BARG-21;BABE2-11;0;0;7754019;0;0;0;39883;926951;0;0
A10-2000;BARG-21;BABE2-21;0;0;856787;6134;0;0;11923;0;0;1614
A10-2000;BARG-21;BABE2-22;0;0;931489;7485;0;0;14551;0;0;1970
A10-2000;BARG-21;BABE2-23;0;0;66676;494;0;0;961;0;0;130
A10-2000;BARG-21;BABE2-24;0;0;54801;422;0;0;819;0;0;111
A10-2000;BARG-21;BABE2-41;0;89632;0;0;97745;0;0;699429;0;0
A10-2000;BARG-21;BABE2-51;0;0;0;0;0;0;0;34796;0;0
A10-2000;BARG-21;BABE2-52;0;0;0;0;0;0;0;31823;0;0
A10-2000;BARG-21;BABE2-53;0;0;0;0;0;0;0;13321;0;0
A10-2000;BARG-21;BABE2-71;0;0;0;0;0;0;0;741113;0;0
A10-2000;BARG-21;BABE2-81;16715;0;0;0;0;0;0;0;0;0
A10-2000;BARG-21;BABE2-91;0;0;0;0;0;0;72673;10901;14535;0
A10-2000;BARG-21;BABE2-92;0;0;0;0;503145;0;33720;387198;0;0
A10-2000;BARG-21;BABE3-1;0;0;7754019;0;0;0;39883;926951;0;0
A10-2000;BARG-21;BABE3-2;0;0;1909753;14535;0;0;28254;0;0;3825
A10-2000;BARG-21;BABE3-4;0;89632;0;0;97745;0;0;699429;0;0
A10-2000;BARG-21;BABE3-5;0;0;0;0;0;0;0;79940;0;0
A10-2000;BARG-21;BABE3-7;0;0;0;0;0;0;0;741113;0;0
A10-2000;BARG-21;BABE3-8;16715;0;0;0;0;0;0;0;0;0
A10-2000;BARG-21;BABE3-9;0;0;0;0;503145;0;106393;398099;14535;0
A10-2000;BARG-22;BABE2-11;0;0;4430107;0;0;0;0;19716029;0;0
A10-2000;BARG-22;BABE2-21;11293;0;0;0;4433043;0;200373;10840;0;3882
A10-2000;BARG-22;BABE2-22;11929;0;0;0;1526130;0;106539;5577;0;1997
A10-2000;BARG-22;BABE2-23;1602;0;0;0;0;0;14671;769;0;275
A10-2000;BARG-22;BABE2-24;610;0;0;0;0;0;5663;297;0;106
A10-2000;BARG-22;BABE2-31;0;0;0;0;0;0;0;0;726728;0
A10-2000;BARG-22;BABE2-41;0;118187;1384;0;363364;0;0;306075;0;0
A10-2000;BARG-22;BABE2-53;0;0;0;0;0;0;0;116277;0;0
A10-2000;BARG-22;BABE2-55;88336;0;0;0;0;0;390215;0;0;0
A10-2000;BARG-22;BABE2-71;0;0;0;0;0;0;0;0;2220832;0
A10-2000;BARG-22;BABE2-81;0;0;0;0;0;0;0;84884;1974521;0
A10-2000;BARG-22;BABE2-92;7652;0;0;0;220374;0;147069;37489;212414;0
A10-2000;BARG-22;BABE3-1;0;0;4430107;0;0;0;0;19716029;0;0
A10-2000;BARG-22;BABE3-2;25435;0;0;0;5959172;0;327246;17483;0;6261
A10-2000;BARG-22;BABE3-3;0;0;0;0;0;0;0;0;726728;0
A10-2000;BARG-22;BABE3-4;0;118187;1384;0;363364;0;0;306075;0;0
A10-2000;BARG-22;BABE3-5;88336;0;0;0;0;0;390215;116277;0;0
A10-2000;BARG-22;BABE3-7;0;0;0;0;0;0;0;0;2220832;0
A10-2000;BARG-22;BABE3-8;0;0;0;0;0;0;0;84884;1974521;0
A10-2000;BARG-22;BABE3-9;7652;0;0;0;220374;0;147069;37489;212414;0
A10-2000;BARG-23;BABE2-11;34759;41128;17132055;0;3272748;0;3248335;9649700;2273;0
A10-2000;BARG-23;BABE2-21;2875162;66827;81764;0;5282216;0;3154602;50121;0;0
A10-2000;BARG-23;BABE2-22;3243499;44836;53961;0;3446204;0;2145732;34092;0;0
A10-2000;BARG-23;BABE2-23;468717;5247;10091;0;814914;0;127991;2034;0;0
A10-2000;BARG-23;BABE2-24;176216;3499;4266;0;274911;0;165635;2632;0;0
A10-2000;BARG-23;BABE2-41;0;163927;464657;0;961754;590;13113;73618;0;0
A10-2000;BARG-23;BABE2-53;0;0;0;0;0;0;0;89024;0;0
A10-2000;BARG-23;BABE2-55;0;0;0;0;0;186;0;192816;1561372;0
A10-2000;BARG-23;BABE2-71;0;0;0;0;0;0;0;1526130;222681;0
A10-2000;BARG-23;BABE2-81;117709;0;0;0;0;0;0;0;0;0
A10-2000;BARG-23;BABE2-92;231100;0;129177;0;0;0;147162;1491811;0;0
A10-2000;BARG-23;BABE3-1;34759;41128;17132055;0;3272748;0;3248335;9649700;2273;0
A10-2000;BARG-23;BABE3-2;6763594;120407;150081;0;9818245;0;5593960;88877;0;0
A10-2000;BARG-23;BABE3-4;0;163927;464657;0;961754;590;13113;73618;0;0
A10-2000;BARG-23;BABE3-5;0;0;0;0;0;186;0;281840;1561372;0
A10-2000;BARG-23;BABE3-7;0;0;0;0;0;0;0;1526130;222681;0
A10-2000;BARG-23;BABE3-8;117709;0;0;0;0;0;0;0;0;0
A10-2000;BARG-23;BABE3-9;231100;0;129177;0;0;0;147162;1491811;0;0
A10-2000;BARG-24;BABE2-11;0;0;43405159;0;0;0;559577;27056808;0;0
A10-2000;BARG-24;BABE2-21;0;0;11383237;0;378;0;948;815702;0;2113
A10-2000;BARG-24;BABE2-22;0;0;9937843;0;237;0;1135;976518;0;2529
A10-2000;BARG-24;BABE2-23;0;25146;1288040;0;28;0;110;704626;0;246
A10-2000;BARG-24;BABE2-24;0;0;644016;0;20;0;59;50376;0;130
A10-2000;BARG-24;BABE2-31;0;0;54505;0;0;0;0;362129;0;0
A10-2000;BARG-24;BABE2-41;0;220598;254355;0;71996;0;14556;994019;4659012;0
A10-2000;BARG-24;BABE2-51;9421;0;8163;0;0;0;264;13023;0;0
A10-2000;BARG-24;BABE2-52;6855;0;5940;0;0;0;0;9477;0;0
A10-2000;BARG-24;BABE2-53;4752;0;4118;0;0;0;3011;6570;0;0
A10-2000;BARG-24;BABE2-55;0;0;2725;0;380733;0;13586;201667;0;0
A10-2000;BARG-24;BABE2-81;1480128;0;0;0;301592;0;0;96937;0;0
A10-2000;BARG-24;BABE2-92;0;0;1938770;0;0;0;216455;4223041;0;0
A10-2000;BARG-24;BABE3-1;0;0;43405159;0;0;0;559577;27056808;0;0
A10-2000;BARG-24;BABE3-2;0;25146;23253134;0;663;0;2253;2547222;0;5019
A10-2000;BARG-24;BABE3-3;0;0;54505;0;0;0;0;362129;0;0
A10-2000;BARG-24;BABE3-4;0;220598;254355;0;71996;0;14556;994019;4659012;0
A10-2000;BARG-24;BABE3-5;21028;0;20945;0;380733;0;16860;230736;0;0
A10-2000;BARG-24;BABE3-8;1480128;0;0;0;301592;0;0;96937;0;0
A10-2000;BARG-24;BABE3-9;0;0;1938770;0;0;0;216455;4223041;0;0
A10-2000;BARG-25;BABE2-11;0;0;9171492;0;58938;0;0;8015086;0;0
A10-2000;BARG-25;BABE2-21;0;0;4293436;0;0;0;249967;577277;0;1581
A10-2000;BARG-25;BABE2-22;0;0;2592839;0;0;0;277943;600317;0;1757
A10-2000;BARG-25;BABE2-23;0;0;541446;0;0;0;57170;828415;0;361
A10-2000;BARG-25;BABE2-24;0;0;198276;0;0;0;23111;49587;0;146
A10-2000;BARG-25;BABE2-31;0;0;0;0;0;0;0;87207;0;0
A10-2000;BARG-25;BABE2-41;0;61763;0;0;0;0;158752;14538;526467;0
A10-2000;BARG-25;BABE2-51;0;0;0;0;0;0;0;75461;0;0
A10-2000;BARG-25;BABE2-52;0;0;0;0;0;0;0;68480;0;0
A10-2000;BARG-25;BABE2-53;0;0;0;0;0;0;0;42828;0;0
A10-2000;BARG-25;BABE2-55;0;0;0;0;0;0;140745;10901;135898;0
A10-2000;BARG-25;BABE2-71;0;0;0;0;0;0;0;2544276;0;0
A10-2000;BARG-25;BABE2-92;0;0;167255;0;0;0;203042;713894;0;0
A10-2000;BARG-25;BABE3-1;0;0;9171492;0;58938;0;0;8015086;0;0
A10-2000;BARG-25;BABE3-2;0;0;7625997;0;0;0;608191;2055595;0;3846
A10-2000;BARG-25;BABE3-3;0;0;0;0;0;0;0;87207;0;0
A10-2000;BARG-25;BABE3-4;0;61763;0;0;0;0;158752;14538;526467;0
A10-2000;BARG-25;BABE3-5;0;0;0;0;0;0;140745;197670;135898;0
A10-2000;BARG-25;BABE3-7;0;0;0;0;0;0;0;2544276;0;0
A10-2000;BARG-25;BABE3-9;0;0;167255;0;0;0;203042;713894;0;0
A10-2000;BARG-26;BABE2-11;0;0;28057846;0;0;0;2659969;11519009;0;0
A10-2000;BARG-26;BABE2-21;0;0;1318557;0;0;0;1131825;104741;0;1847
A10-2000;BARG-26;BABE2-22;0;0;1581034;0;0;0;1357130;101664;0;2215
A10-2000;BARG-26;BABE2-23;0;0;108078;0;0;0;92773;6560;0;151
A10-2000;BARG-26;BABE2-24;0;0;80287;0;0;0;68917;5610;0;112
A10-2000;BARG-26;BABE2-41;0;111278;0;0;3917066;0;251255;267472;2497474;64
A10-2000;BARG-26;BABE2-51;0;0;0;0;0;0;0;65770;0;0
A10-2000;BARG-26;BABE2-52;0;0;0;0;0;0;0;69917;0;0
A10-2000;BARG-26;BABE2-53;0;0;0;0;0;0;0;61820;0;0
A10-2000;BARG-26;BABE2-55;0;0;0;0;0;0;53875;3270;0;2171793
A10-2000;BARG-26;BABE2-71;0;0;0;0;0;0;0;0;11409635;0
A10-2000;BARG-26;BABE2-91;0;0;0;0;294325;0;0;0;0;0
A10-2000;BARG-26;BABE2-92;20494;0;0;0;0;0;283867;195019;0;2339
A10-2000;BARG-26;BABE3-1;0;0;28057846;0;0;0;2659969;11519009;0;0
A10-2000;BARG-26;BABE3-2;0;0;3087956;0;0;0;2650645;218575;0;4326
A10-2000;BARG-26;BABE3-4;0;111278;0;0;3917066;0;251255;267472;2497474;64
A10-2000;BARG-26;BABE3-5;0;0;0;0;0;0;53875;200777;0;2171793
A10-2000;BARG-26;BABE3-7;0;0;0;0;0;0;0;0;11409635;0
A10-2000;BARG-26;BABE3-9;20494;0;0;0;294325;0;283867;195019;0;2339
A10-2000;BARG-27;BABE2-11;0;0;16778370;0;0;0;106160;1744087;0;0
A10-2000;BARG-27;BABE2-21;1969;0;0;0;0;0;1985560;148576;651040;674738
A10-2000;BARG-27;BABE2-22;2077;0;21383;0;0;0;1233702;92128;686795;711794
A10-2000;BARG-27;BABE2-23;293;0;0;0;0;0;182356;19437;96837;100361
A10-2000;BARG-27;BABE2-24;167;0;0;0;0;0;99250;7412;55122;57129
A10-2000;BARG-27;BABE2-31;0;0;0;0;0;0;0;330705;0;0
A10-2000;BARG-27;BABE2-41;0;84773;1516900;0;210024;0;1857;1716160;0;0
A10-2000;BARG-27;BABE2-51;0;0;0;0;0;0;0;1050784;0;0
A10-2000;BARG-27;BABE2-52;0;0;0;0;0;0;0;121872;0;0
A10-2000;BARG-27;BABE2-53;0;0;0;0;0;0;0;206674;0;0
