code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
A10-2000;2000;;;;;;;;
A10-2001;2001;;;;;;;;
A10-2002;2002;;;;;;;;
A10-2003;2003;;;;;;;;
A10-2004;2004;;;;;;;;
A10-2005;2005;;;;;;;;
A10-2006;2006;;;;;;;;
A10-2007;2007;;;;;;;;
A10-2008;2008;;;;;;;;
A10-2009;2009;;;;;;;;
A10-2010;2010;;;;;;;;
A10-2011;2011;;;;;;;;
A10-2012;2012;;;;;;;;
A10-2013;2013;;;;;;;;
A10-2014;2014;;;;;;;;
A10-2015;2015;;;;;;;;
A10-2016;2016;;;;;;;;
A10-2017;2017;;;;;;;;
A10-2018;2018;;;;;;;;
A10-2019;2019;;;;;;;;
A10-2020;2020;;;;;;;;
A10-2021;2021;;;;;;;;
A10-2022;2022;;;;;;;;
A10-2023;2023;;;;;;;;
